Edad,Sexo,Nivel_Educativo,Estado_Civil,Sector_Economico,Inscrito_Camara_Comercio,Probabilidad_Inscripcion,Prediccion_Modelo,Riesgo_Desercion
30.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,1.0,0.0,No,ALTO
48.0,F,TECNICO,CASADO/A,MANUFACTURERO,1.0,0.01,No,ALTO
26.0,M,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.06,No,ALTO
25.0,M,UNDECIMO,UNION LIBRE,SERVICIOS,0.0,0.0,No,ALTO
59.0,M,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.1,No,ALTO
24.0,F,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
57.0,F,UNDECIMO,SEPARADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
37.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,1.0,0.06,No,ALTO
51.0,M,PROFESIONAL,CASADO/A,SERVICIOS,1.0,0.65,Sí,BAJO
30.0,F,No especifica,CASADO/A,SERVICIOS,0.0,0.13,No,ALTO
41.0,M,PROFESIONAL,CASADO/A,SERVICIOS,1.0,0.6726666666666665,Sí,BAJO
31.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
48.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
54.0,F,UNDECIMO,VIUDO/A,COMERCIAL,0.0,0.0,No,ALTO
24.0,M,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
41.0,F,TECNOLOGO,SOLTERO/A,SERVICIOS,0.0,0.2,No,ALTO
39.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
27.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.0,No,ALTO
23.0,M,TECNOLOGO,SOLTERO/A,SERVICIOS,0.0,0.01,No,ALTO
63.0,F,TECNICO,CASADO/A,SERVICIOS,0.0,0.03,No,ALTO
36.0,M,TECNICO,UNION LIBRE,SERVICIOS,0.0,0.1575,No,ALTO
49.0,F,QUINTO,UNION LIBRE,MANUFACTURERO,1.0,0.03,No,ALTO
23.0,F,TECNOLOGO,UNION LIBRE,SERVICIOS,0.0,0.07,No,ALTO
52.0,F,TECNOLOGO,SEPARADO/A,COMERCIAL,0.0,0.07,No,ALTO
26.0,M,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.02,No,ALTO
35.0,F,PROFESIONAL,SEPARADO/A,COMERCIAL,0.0,0.4035,Sí,MEDIO
37.0,F,PROFESIONAL,CASADO/A,COMERCIAL,0.0,0.5175,Sí,MEDIO
35.0,F,PROFESIONAL,SOLTERO/A,MANUFACTURERO,1.0,0.705,Sí,BAJO
48.0,F,TECNICO,CASADO/A,MANUFACTURERO,0.0,0.01,No,ALTO
24.0,F,PROFESIONAL,CASADO/A,SERVICIOS,0.0,0.14,No,ALTO
26.0,M,PROFESIONAL,CASADO/A,NO ESPECIFICA,0.0,0.18,No,ALTO
36.0,M,PROFESIONAL,UNION LIBRE,MANUFACTURERO,0.0,0.105,No,ALTO
23.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
31.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
38.0,F,TECNICO,NO ESPECIFICA,SERVICIOS,0.0,0.35,No,MEDIO
23.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
60.0,F,PROFESIONAL,UNION LIBRE,SERVICIOS,0.0,0.01,No,ALTO
28.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
41.0,F,TECNICO,SEPARADO/A,COMERCIAL,0.0,0.05,No,ALTO
30.0,F,TECNICO,SEPARADO/A,COMERCIAL,0.0,0.414,Sí,MEDIO
29.0,F,PROFESIONAL,CASADO/A,COMERCIAL,0.0,0.01,No,ALTO
47.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.0694444444444444,No,ALTO
25.0,M,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.05,No,ALTO
32.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.08,No,ALTO
22.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
18.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
35.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.2547341269841269,No,ALTO
23.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
38.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
18.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.005,No,ALTO
32.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.019,No,ALTO
48.0,F,TECNOLOGO,CASADO/A,COMERCIAL,0.0,0.26,No,ALTO
37.0,F,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.02,No,ALTO
35.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.005,No,ALTO
24.0,F,PROFESIONAL,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
19.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
33.0,F,PROFESIONAL,UNION LIBRE,COMERCIAL,0.0,0.0483333333333333,No,ALTO
34.0,F,TECNICO,UNION LIBRE,MANUFACTURERO,0.0,0.01,No,ALTO
43.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
32.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.1627619047619047,No,ALTO
27.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
30.0,F,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.01,No,ALTO
45.0,F,TECNICO,SOLTERO/A,NO ESPECIFICA,1.0,0.66,Sí,BAJO
47.0,M,UNDECIMO,CASADO/A,SERVICIOS,0.0,0.03,No,ALTO
27.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
24.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0066666666666666,No,ALTO
24.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
52.0,F,TECNICO,CASADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
36.0,M,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.16,No,ALTO
27.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
28.0,F,TECNICO,CASADO/A,MANUFACTURERO,0.0,0.01,No,ALTO
31.0,F,PROFESIONAL,SOLTERO/A,SERVICIOS,1.0,0.022,No,ALTO
28.0,M,UNDECIMO,SOLTERO/A,COMERCIAL,1.0,0.65,Sí,BAJO
38.0,F,TECNICO,CASADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
26.0,M,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.01,No,ALTO
33.0,M,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.1,No,ALTO
20.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
46.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.0286666666666666,No,ALTO
46.0,F,TECNICO,SEPARADO/A,COMERCIAL,0.0,0.04,No,ALTO
36.0,F,UNDECIMO,CASADO/A,MANUFACTURERO,0.0,0.0166666666666666,No,ALTO
24.0,F,QUINTO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
51.0,F,PROFESIONAL,SEPARADO/A,MANUFACTURERO,0.0,0.04,No,ALTO
30.0,M,TECNICO,CASADO/A,MANUFACTURERO,0.0,0.02,No,ALTO
58.0,F,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.0,No,ALTO
32.0,M,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.35,No,MEDIO
25.0,F,PROFESIONAL,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
20.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
30.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
34.0,F,UNDECIMO,SEPARADO/A,COMERCIAL,0.0,0.03,No,ALTO
42.0,F,PROFESIONAL,UNION LIBRE,COMERCIAL,0.0,0.1536666666666666,No,ALTO
22.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
30.0,F,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
30.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0230714285714285,No,ALTO
25.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
40.0,F,UNDECIMO,SEPARADO/A,MANUFACTURERO,0.0,0.14,No,ALTO
37.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.01,No,ALTO
35.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.0466666666666666,No,ALTO
19.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
55.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0383333333333333,No,ALTO
53.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0289999999999999,No,ALTO
32.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.034,No,ALTO
28.0,F,NINGUNO,SOLTERO/A,COMERCIAL,0.0,0.0316666666666666,No,ALTO
25.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
45.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
34.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.0,No,ALTO
31.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.654,Sí,BAJO
26.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.2032067099567099,No,ALTO
44.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
29.0,M,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.01,No,ALTO
22.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
23.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.01,No,ALTO
29.0,F,PROFESIONAL,CASADO/A,COMERCIAL,0.0,0.01,No,ALTO
27.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0319841269841269,No,ALTO
21.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
37.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.02,No,ALTO
25.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
20.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
19.0,F,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.0125,No,ALTO
25.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
56.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.3325,No,MEDIO
20.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
27.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
26.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.4406666666666666,Sí,MEDIO
40.0,F,PROFESIONAL,SOLTERO/A,MANUFACTURERO,0.0,0.01,No,ALTO
21.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
48.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.02,No,ALTO
17.0,F,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.01,No,ALTO
49.0,F,UNDECIMO,SEPARADO/A,SERVICIOS,0.0,0.09,No,ALTO
40.0,F,PROFESIONAL,SEPARADO/A,SERVICIOS,0.0,0.19,No,ALTO
37.0,F,PROFESIONAL,CASADO/A,SERVICIOS,0.0,0.26,No,ALTO
38.0,F,PROFESIONAL,SEPARADO/A,MANUFACTURERO,0.0,0.05,No,ALTO
43.0,M,POSTGRADO,CASADO/A,MANUFACTURERO,0.0,0.02,No,ALTO
21.0,M,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.0386666666666666,No,ALTO
42.0,F,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.4436904761904762,Sí,MEDIO
24.0,M,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.03,No,ALTO
28.0,M,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.02,No,ALTO
38.0,M,PROFESIONAL,SEPARADO/A,SERVICIOS,1.0,0.7716666666666668,Sí,BAJO
22.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
35.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.02,No,ALTO
28.0,F,PROFESIONAL,UNION LIBRE,SERVICIOS,0.0,0.0,No,ALTO
29.0,F,PROFESIONAL,SOLTERO/A,MANUFACTURERO,1.0,0.0,No,ALTO
21.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
51.0,M,TECNICO,CASADO/A,COMERCIAL,0.0,0.04,No,ALTO
23.0,F,PROFESIONAL,UNION LIBRE,COMERCIAL,0.0,0.0166666666666666,No,ALTO
35.0,M,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.14,No,ALTO
31.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,1.0,0.0,No,ALTO
40.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.07,No,ALTO
28.0,M,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.48,Sí,MEDIO
40.0,M,UNDECIMO,UNION LIBRE,SERVICIOS,0.0,0.17,No,ALTO
28.0,F,tecnico,UNION LIBRE,MANUFACTURERO,0.0,0.01,No,ALTO
43.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
57.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,1.0,0.07,No,ALTO
48.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0365,No,ALTO
35.0,F,DECIMO,CASADO/A,MANUFACTURERO,0.0,0.12,No,ALTO
30.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.0,No,ALTO
61.0,F,PRIMERO,SOLTERO/A,SERVICIOS,0.0,0.03,No,ALTO
33.0,F,tecnico,UNION LIBRE,SERVICIOS,0.0,0.01,No,ALTO
51.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.035,No,ALTO
44.0,F,TECNOLOGO,CASADO/A,SERVICIOS,1.0,0.11,No,ALTO
18.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
29.0,F,UNDECIMO,UNION LIBRE,SERVICIOS,0.0,0.0,No,ALTO
29.0,F,OCTAVO,SOLTERO/A,SERVICIOS,0.0,0.06,No,ALTO
38.0,F,DECIMO,SOLTERO/A,COMERCIAL,0.0,0.01,No,ALTO
36.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0333333333333333,No,ALTO
31.0,F,TECNICO,UNION LIBRE,MANUFACTURERO,0.0,0.0,No,ALTO
44.0,F,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.0,No,ALTO
42.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.11,No,ALTO
38.0,M,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.03,No,ALTO
37.0,F,SEPTIMO,UNION LIBRE,COMERCIAL,0.0,0.02,No,ALTO
19.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
38.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.17,No,ALTO
27.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
43.0,F,QUINTO,UNION LIBRE,SERVICIOS,0.0,0.0666666666666666,No,ALTO
71.0,F,QUINTO,SOLTERO/A,SERVICIOS,0.0,0.01,No,ALTO
52.0,F,UNDECIMO,SEPARADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
42.0,F,QUINTO,UNION LIBRE,SERVICIOS,0.0,0.0666666666666666,No,ALTO
41.0,F,QUINTO,SOLTERO/A,COMERCIAL,0.0,0.02,No,ALTO
36.0,F,TECNICO,UNION LIBRE,SERVICIOS,0.0,0.0,No,ALTO
69.0,F,UNDECIMO,SEPARADO/A,MANUFACTURERO,0.0,0.02,No,ALTO
21.0,F,TECNOLOGO,SOLTERO/A,COMERCIAL,0.0,0.5,Sí,MEDIO
46.0,F,QUINTO,SOLTERO/A,COMERCIAL,0.0,0.02,No,ALTO
60.0,M,QUINTO,UNION LIBRE,COMERCIAL,0.0,0.03,No,ALTO
47.0,F,UNDECIMO,UNION LIBRE,SERVICIOS,0.0,0.4580952380952381,Sí,MEDIO
47.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
46.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
43.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
25.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
38.0,M,TECNICO,SOLTERO/A,SERVICIOS,1.0,0.58,Sí,MEDIO
37.0,F,UNDECIMO,SEPARADO/A,SERVICIOS,0.0,0.12,No,ALTO
19.0,M,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
50.0,F,QUINTO,UNION LIBRE,COMERCIAL,0.0,0.09,No,ALTO
69.0,M,PRIMERO,UNION LIBRE,COMERCIAL,0.0,0.085,No,ALTO
41.0,F,UNDECIMO,SEPARADO/A,SERVICIOS,0.0,0.01,No,ALTO
41.0,F,TECNOLOGO,UNION LIBRE,COMERCIAL,0.0,0.2135714285714286,No,ALTO
51.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.06,No,ALTO
52.0,F,PROFESIONAL,CASADO/A,SERVICIOS,0.0,0.01,No,ALTO
24.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,1.0,0.0,No,ALTO
43.0,F,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.0433333333333333,No,ALTO
50.0,M,UNDECIMO,CASADO/A,SERVICIOS,0.0,0.21,No,ALTO
27.0,M,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.03,No,ALTO
40.0,F,QUINTO,SEPARADO/A,SERVICIOS,0.0,0.15,No,ALTO
48.0,F,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
44.0,F,QUINTO,UNION LIBRE,COMERCIAL,0.0,0.016,No,ALTO
54.0,F,TECNOLOGO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
34.0,F,QUINTO,UNION LIBRE,COMERCIAL,0.0,0.01,No,ALTO
44.0,F,UNDECIMO,CASADO/A,COMERCIAL,1.0,0.4291666666666666,Sí,MEDIO
23.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.4286666666666666,Sí,MEDIO
23.0,F,TECNOLOGO,SOLTERO/A,SERVICIOS,0.0,0.07,No,ALTO
52.0,F,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.01,No,ALTO
35.0,F,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.3313492063492064,No,MEDIO
35.0,M,TECNICO,UNION LIBRE,SERVICIOS,0.0,0.4234999999999999,Sí,MEDIO
47.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
32.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
62.0,F,NOVENO,VIUDO/A,COMERCIAL,0.0,0.05,No,ALTO
30.0,F,SEGUNDO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
26.0,F,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.025,No,ALTO
30.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
27.0,F,UNDECIMO,UNION LIBRE,SERVICIOS,0.0,0.0,No,ALTO
43.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.11,No,ALTO
66.0,F,QUINTO,UNION LIBRE,SERVICIOS,0.0,0.21,No,ALTO
57.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.07,No,ALTO
33.0,F,TECNICO,SEPARADO/A,COMERCIAL,1.0,0.65,Sí,BAJO
38.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.2051269841269841,No,ALTO
51.0,M,QUINTO,CASADO/A,SERVICIOS,0.0,0.0566666666666666,No,ALTO
31.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
31.0,F,PROFESIONAL,UNION LIBRE,COMERCIAL,1.0,0.0075,No,ALTO
28.0,F,TECNOLOGO,SOLTERO/A,COMERCIAL,0.0,0.03,No,ALTO
40.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.66,Sí,BAJO
51.0,M,UNDECIMO,CASADO/A,MANUFACTURERO,0.0,0.0666666666666666,No,ALTO
47.0,F,PROFESIONAL,CASADO/A,COMERCIAL,0.0,0.2545,No,ALTO
54.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.0033333333333333,No,ALTO
47.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.02,No,ALTO
51.0,F,TECNOLOGO,UNION LIBRE,COMERCIAL,0.0,0.1483333333333333,No,ALTO
83.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,1.0,0.66,Sí,BAJO
35.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
39.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
33.0,F,QUINTO,SEPARADO/A,MANUFACTURERO,0.0,0.07,No,ALTO
49.0,F,QUINTO,CASADO/A,MANUFACTURERO,0.0,0.01,No,ALTO
37.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.02,No,ALTO
38.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.2051269841269841,No,ALTO
51.0,F,QUINTO,SEPARADO/A,COMERCIAL,0.0,0.14,No,ALTO
45.0,M,TECNICO,UNION LIBRE,SERVICIOS,1.0,0.4046666666666666,Sí,MEDIO
60.0,M,PROFESIONAL,CASADO/A,SERVICIOS,0.0,0.2,No,ALTO
38.0,M,UNDECIMO,CASADO/A,COMERCIAL,1.0,0.5265000000000001,Sí,MEDIO
45.0,M,UNDECIMO,CASADO/A,COMERCIAL,1.0,0.9,Sí,BAJO
47.0,M,QUINTO,CASADO/A,COMERCIAL,0.0,0.075,No,ALTO
53.0,F,UNDECIMO,CASADO/A,SERVICIOS,1.0,0.73,Sí,BAJO
21.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
40.0,F,UNDECIMO,CASADO/A,MANUFACTURERO,0.0,0.0666666666666666,No,ALTO
39.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,1.0,0.7,Sí,BAJO
51.0,F,TECNICO,CASADO/A,SERVICIOS,0.0,0.29,No,ALTO
40.0,F,TECNICO,SEPARADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
31.0,M,UNDECIMO,SOLTERO/A,COMERCIAL,1.0,0.66,Sí,BAJO
40.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.55,Sí,MEDIO
58.0,M,PROFESIONAL,SEPARADO/A,MANUFACTURERO,0.0,0.12,No,ALTO
35.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.0466666666666666,No,ALTO
37.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.02,No,ALTO
70.0,F,NINGUNO,SOLTERO/A,COMERCIAL,0.0,0.01,No,ALTO
50.0,M,TECNICO,CASADO/A,COMERCIAL,0.0,0.05,No,ALTO
65.0,F,QUINTO,SOLTERO/A,SERVICIOS,0.0,0.02,No,ALTO
48.0,M,QUINTO,CASADO/A,COMERCIAL,0.0,0.0866666666666666,No,ALTO
63.0,F,UNDECIMO,VIUDO/A,MANUFACTURERO,0.0,0.005,No,ALTO
24.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
36.0,M,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.05,No,ALTO
34.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0353571428571428,No,ALTO
61.0,F,UNDECIMO,SEPARADO/A,COMERCIAL,0.0,0.01,No,ALTO
25.0,M,TECNOLOGO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
21.0,M,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.03,No,ALTO
53.0,F,UNDECIMO,SEPARADO/A,COMERCIAL,0.0,0.0,No,ALTO
65.0,M,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.02,No,ALTO
46.0,M,QUINTO,SOLTERO/A,COMERCIAL,0.0,0.47,Sí,MEDIO
60.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.06,No,ALTO
52.0,F,UNDECIMO,CASADO/A,MANUFACTURERO,0.0,0.0563333333333333,No,ALTO
64.0,M,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.04,No,ALTO
29.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.0170833333333333,No,ALTO
32.0,F,TECNOLOGO,SOLTERO/A,COMERCIAL,0.0,0.0935714285714285,No,ALTO
20.0,F,TECNOLOGO,SOLTERO/A,COMERCIAL,1.0,0.7,Sí,BAJO
46.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.01,No,ALTO
39.0,M,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.11,No,ALTO
69.0,M,QUINTO,UNION LIBRE,COMERCIAL,0.0,0.04,No,ALTO
54.0,M,UNDECIMO,CASADO/A,MANUFACTURERO,1.0,0.915,Sí,BAJO
52.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.01,No,ALTO
32.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0625,No,ALTO
43.0,F,QUINTO,SOLTERO/A,MANUFACTURERO,0.0,0.06,No,ALTO
36.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
41.0,M,QUINTO,CASADO/A,COMERCIAL,0.0,0.0166666666666666,No,ALTO
38.0,F,UNDECIMO,VIUDO/A,COMERCIAL,0.0,0.14,No,ALTO
61.0,F,QUINTO,SEPARADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
54.0,M,UNDECIMO,CASADO/A,MANUFACTURERO,1.0,0.915,Sí,BAJO
35.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,1.0,0.2547341269841269,No,ALTO
59.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,1.0,0.64,Sí,BAJO
41.0,M,PROFESIONAL,SOLTERO/A,SERVICIOS,1.0,0.6366666666666666,Sí,BAJO
41.0,F,TECNICO,SOLTERO/A,NO ESPECIFICA,0.0,0.23,No,ALTO
27.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.0,No,ALTO
58.0,M,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.2883333333333333,No,ALTO
26.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
54.0,F,UNDECIMO,CASADO/A,MANUFACTURERO,0.0,0.2777857142857142,No,ALTO
