Edad,Sexo,Nivel_Educativo,Estado_Civil,Sector_Economico,Inscrito_Camara_Comercio,Probabilidad_Inscripcion,Prediccion_Modelo,Riesgo_Desercion
54.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
41.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.022,No,ALTO
45.0,F,UNDECIMO,CASADO/A,SERVICIOS,0.0,0.1166666666666666,No,ALTO
65.0,F,TECNICO,VIUDO/A,SERVICIOS,0.0,0.03,No,ALTO
26.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
66.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
35.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.085,No,ALTO
34.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0566666666666666,No,ALTO
52.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.01,No,ALTO
55.0,F,SEXTO,SOLTERO/A,SERVICIOS,0.0,0.21,No,ALTO
35.0,M,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.18,No,ALTO
34.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.0,No,ALTO
51.0,F,QUINTO,SOLTERO/A,COMERCIAL,0.0,0.11,No,ALTO
34.0,M,TECNICO,CASADO/A,COMERCIAL,0.0,0.26,No,ALTO
36.0,M,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.49,Sí,MEDIO
23.0,M,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0265,No,ALTO
19.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
52.0,F,TECNICO,CASADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
43.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.005,No,ALTO
46.0,M,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.1075,No,ALTO
48.0,F,PROFESIONAL,UNION LIBRE,MANUFACTURERO,0.0,0.55,Sí,MEDIO
26.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
24.0,M,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.03,No,ALTO
31.0,M,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.36,No,MEDIO
51.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
48.0,F,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.17,No,ALTO
36.0,F,TECNOLOGO,SOLTERO/A,MANUFACTURERO,0.0,0.1175,No,ALTO
31.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
27.0,F,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.22,No,ALTO
38.0,M,UNDECIMO,SEPARADO/A,MANUFACTURERO,1.0,0.7,Sí,BAJO
51.0,M,UNDECIMO,CASADO/A,SERVICIOS,0.0,0.21,No,ALTO
59.0,M,TECNICO,CASADO/A,MANUFACTURERO,0.0,0.19,No,ALTO
18.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
40.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.4126746031746031,Sí,MEDIO
49.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.1,No,ALTO
41.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
25.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
40.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,1.0,0.4126746031746031,Sí,MEDIO
42.0,F,PROFESIONAL,CASADO/A,COMERCIAL,1.0,0.3429999999999999,No,MEDIO
36.0,F,PROFESIONAL,CASADO/A,COMERCIAL,1.0,0.8951666666666667,Sí,BAJO
47.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,1.0,0.2794761904761904,No,ALTO
30.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
50.0,F,PROFESIONAL,SOLTERO/A,SERVICIOS,1.0,0.55,Sí,MEDIO
31.0,F,TECNICO,SOLTERO/A,COMERCIAL,1.0,0.654,Sí,BAJO
54.0,F,UNDECIMO,SEPARADO/A,MANUFACTURERO,0.0,0.0076190476190476,No,ALTO
50.0,M,UNDECIMO,CASADO/A,COMERCIAL,1.0,0.285,No,ALTO
48.0,M,UNDECIMO,CASADO/A,COMERCIAL,1.0,0.79,Sí,BAJO
37.0,F,UNDECIMO,SEPARADO/A,COMERCIAL,1.0,0.14,No,ALTO
48.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,1.0,0.3938333333333333,No,MEDIO
45.0,F,PROFESIONAL,UNION LIBRE,COMERCIAL,1.0,0.4239523809523809,Sí,MEDIO
23.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,1.0,0.4286666666666666,Sí,MEDIO
33.0,F,UNDECIMO,CASADO/A,COMERCIAL,1.0,0.03,No,ALTO
64.0,M,TERCERO,SOLTERO/A,COMERCIAL,1.0,0.74,Sí,BAJO
49.0,M,PROFESIONAL,CASADO/A,SERVICIOS,1.0,0.74,Sí,BAJO
21.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
75.0,F,PROFESIONAL,UNION LIBRE,MANUFACTURERO,1.0,0.726,Sí,BAJO
50.0,F,TECNICO,SEPARADO/A,MANUFACTURERO,1.0,0.01,No,ALTO
50.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.03,No,ALTO
41.0,M,PROFESIONAL,SOLTERO/A,COMERCIAL,1.0,0.86,Sí,BAJO
40.0,F,QUINTO,SOLTERO/A,MANUFACTURERO,0.0,0.03,No,ALTO
24.0,M,TECNICO,SOLTERO/A,AGROPECUARIO,1.0,0.02,No,ALTO
45.0,M,PROFESIONAL,CASADO/A,SERVICIOS,1.0,0.88,Sí,BAJO
76.0,M,NINGUNO,UNION LIBRE,COMERCIAL,1.0,0.74,Sí,BAJO
52.0,M,QUINTO,UNION LIBRE,COMERCIAL,1.0,0.6366666666666667,Sí,BAJO
45.0,M,TERCERO,UNION LIBRE,COMERCIAL,1.0,0.4473333333333332,Sí,MEDIO
80.0,F,QUINTO,VIUDO/A,COMERCIAL,1.0,0.65,Sí,BAJO
54.0,F,TERCERO,SOLTERO/A,COMERCIAL,0.0,0.03,No,ALTO
49.0,M,QUINTO,SEPARADO/A,COMERCIAL,1.0,0.7316666666666667,Sí,BAJO
64.0,M,NINGUNO,UNION LIBRE,COMERCIAL,1.0,0.96,Sí,BAJO
75.0,M,TERCERO,UNION LIBRE,COMERCIAL,1.0,0.85,Sí,BAJO
73.0,M,TERCERO,UNION LIBRE,COMERCIAL,1.0,0.83,Sí,BAJO
71.0,M,TERCERO,CASADO/A,COMERCIAL,1.0,0.85,Sí,BAJO
70.0,M,NINGUNO,CASADO/A,COMERCIAL,1.0,0.98,Sí,BAJO
52.0,M,NINGUNO,CASADO/A,COMERCIAL,1.0,0.98,Sí,BAJO
53.0,M,NINGUNO,CASADO/A,COMERCIAL,1.0,0.99,Sí,BAJO
61.0,M,TERCERO,CASADO/A,COMERCIAL,1.0,0.93,Sí,BAJO
56.0,F,QUINTO,SOLTERO/A,COMERCIAL,1.0,0.55,Sí,MEDIO
56.0,M,NINGUNO,UNION LIBRE,COMERCIAL,1.0,0.94,Sí,BAJO
67.0,M,TERCERO,CASADO/A,COMERCIAL,1.0,0.94,Sí,BAJO
72.0,M,NINGUNO,CASADO/A,COMERCIAL,1.0,0.96,Sí,BAJO
74.0,M,NINGUNO,CASADO/A,COMERCIAL,1.0,0.95,Sí,BAJO
62.0,M,NINGUNO,CASADO/A,COMERCIAL,1.0,0.97,Sí,BAJO
62.0,M,TERCERO,CASADO/A,COMERCIAL,1.0,0.96,Sí,BAJO
65.0,M,NINGUNO,UNION LIBRE,COMERCIAL,1.0,0.96,Sí,BAJO
36.0,M,NINGUNO,CASADO/A,COMERCIAL,1.0,0.85,Sí,BAJO
49.0,M,TERCERO,UNION LIBRE,COMERCIAL,1.0,0.5039999999999999,Sí,MEDIO
65.0,M,TERCERO,UNION LIBRE,COMERCIAL,1.0,0.8566666666666666,Sí,BAJO
49.0,M,QUINTO,CASADO/A,COMERCIAL,1.0,0.465,Sí,MEDIO
61.0,M,NINGUNO,CASADO/A,COMERCIAL,1.0,0.99,Sí,BAJO
40.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
38.0,M,UNDECIMO,UNION LIBRE,SERVICIOS,0.0,0.16,No,ALTO
20.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
23.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
35.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
23.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.01,No,ALTO
